% West Bohemia mechanisms
%  strike          dip             rake
   1.4900000e+02   3.3000000e+01   6.7000000e+01
   1.4900000e+02   6.5000000e+01   6.2000000e+01
   2.1900000e+02   8.4000000e+01   1.5800000e+02
   1.1300000e+02   4.7000000e+01   -7.7000000e+01
   1.3400000e+02   7.5000000e+01   1.7100000e+02
   1.3500000e+02   7.6000000e+01   1.1000000e+02
   2.9700000e+02   7.1000000e+01   -5.9000000e+01
   4.8000000e+01   8.5000000e+01   -1.3900000e+02
   3.1400000e+02   5.6000000e+01   -5.0000000e+00
   2.3200000e+02   8.6000000e+01   -1.7500000e+02
   2.2400000e+02   8.9000000e+01   1.4200000e+02
   2.4500000e+02   4.0000000e+01   -5.8000000e+01
   6.1000000e+01   3.5000000e+01   -9.0000000e+01
   2.9500000e+02   6.4000000e+01   -1.6800000e+02
   6.8000000e+01   8.9000000e+01   -8.4000000e+01
   2.1600000e+02   8.3000000e+01   1.7800000e+02
   9.0000000e+01   4.6000000e+01   -1.7000000e+02
   3.1700000e+02   5.6000000e+01   -1.8000000e+01
   2.5100000e+02   8.4000000e+01   6.1000000e+01
   4.3000000e+01   2.6000000e+01   -2.3000000e+01
   2.1900000e+02   8.0000000e+01   -7.8000000e+01
   6.7000000e+01   8.2000000e+01   8.5000000e+01
   8.0000000e+00   6.3000000e+01   1.5900000e+02
   6.3000000e+01   4.0000000e+01   1.6000000e+02
   4.5000000e+01   8.8000000e+01   -1.6800000e+02
