id,code,name,lat,long,pap,moun,eq,mmax
1,T-A1,W. Montenegro,42.50,17.90,7.2,7.6,7.1,7.2
,T-A1,W. Montenegro,41.60,19.15,7.2,7.6,7.1,7.2
,T-A1,W. Montenegro,41.75,19.80,7.2,7.6,7.1,7.2
,T-A1,W. Montenegro,42.15,19.70,7.2,7.6,7.1,7.2
,T-A1,W. Montenegro,42.80,18.50,7.2,7.6,7.1,7.2
2,T-A2,W. Albania,41.60,19.15,6.8,7.0,6.8,6.9
,T-A2,W. Albania,40.50,19.00,6.8,7.0,6.8,6.9
,T-A2,W. Albania,40.65,20.25,6.8,7.0,6.8,6.9
,T-A2,W. Albania,41.00,20.25,6.8,7.0,6.8,6.9
,T-A2,W. Albania,41.75,19.80,6.8,7.0,6.8,6.9
3,T-A3,SW Albania,40.50,19.00,7.1,7.2,6.6,7.1
,T-A3,SW Albania,39.75,19.40,7.1,7.2,6.6,7.1
,T-A3,SW Albania,40.00,20.60,7.1,7.2,6.6,7.1
,T-A3,SW Albania,40.65,20.25,7.1,7.2,6.6,7.1
4,T-A4,Corfu,39.75,19.40,7.0,7.0,7.1,7.1
,T-A4,Corfu,39.15,19.65,7.0,7.0,7.1,7.1
,T-A4,Corfu,38.78,20.18,7.0,7.0,7.1,7.1
,T-A4,Corfu,38.81,20.26,7.0,7.0,7.1,7.1
,T-A4,Corfu,38.93,20.90,7.0,7.0,7.1,7.1
,T-A4,Corfu,38.97,21.23,7.0,7.0,7.1,7.1
,T-A4,Corfu,39.95,20.64,7.0,7.0,7.1,7.1
,T-A4,Corfu,40.00,20.60,7.0,7.0,7.1,7.1
5,T-A5,N. Ionian (ext.),40.50,19.00,-,-,6.0,6.2
,T-A5,N. Ionian (ext.),39.60,18.55,-,-,6.0,6.2
,T-A5,N. Ionian (ext.),38.50,19.30,-,-,6.0,6.2
,T-A5,N. Ionian (ext.),38.78,20.18,-,-,6.0,6.2
,T-A5,N. Ionian (ext.),39.15,19.65,-,-,6.0,6.2
,T-A5,N. Ionian (ext.),39.75,19.40,-,-,6.0,6.2
6,N-B1,SE Montenegro,42.80,18.50,-,-,5.4,6.0
,N-B1,SE Montenegro,42.15,19.70,-,-,5.4,6.0
,N-B1,SE Montenegro,42.15,20.28,-,-,5.4,6.0
,N-B1,SE Montenegro,42.50,20.15,-,-,5.4,6.0
,N-B1,SE Montenegro,43.00,19.50,-,-,5.4,6.0
7,N-B2,NE Albania,42.15,19.70,6.9,7.0,6.3,6.9
,N-B2,NE Albania,41.75,19.80,6.9,7.0,6.3,6.9
,N-B2,NE Albania,41.00,20.25,6.9,7.0,6.3,6.9
,N-B2,NE Albania,41.25,20.85,6.9,7.0,6.3,6.9
,N-B2,NE Albania,41.55,20.75,6.9,7.0,6.3,6.9
,N-B2,NE Albania,42.15,20.28,6.9,7.0,6.3,6.9
8,N-B3,Ochrida,41.00,20.25,6.7,6.8,6.7,6.7
,N-B3,Ochrida,40.65,20.25,6.7,6.8,6.7,6.7
,N-B3,Ochrida,39.95,20.64,6.7,6.8,6.7,6.7
,N-B3,Ochrida,40.15,21.00,6.7,6.8,6.7,6.7
,N-B3,Ochrida,40.75,21.05,6.7,6.8,6.7,6.7
,N-B3,Ochrida,41.25,20.85,6.7,6.8,6.7,6.7
9,N-B4,E Epirus,39.95,20.64,6.4,-,6.4,6.4
,N-B4,E Epirus,38.97,21.23,6.4,-,6.4,6.4
,N-B4,E Epirus,39.00,21.45,6.4,-,6.4,6.4
,N-B4,E Epirus,39.30,21.50,6.4,-,6.4,6.4
,N-B4,E Epirus,39.70,21.25,6.4,-,6.4,6.4
,N-B4,E Epirus,40.15,21.00,6.4,-,6.4,6.4
10,S-C1,C. Ionian (ext.),38.50,19.30,-,-,5.7,6.2
,S-C1,C. Ionian (ext.),37.35,18.40,-,-,5.7,6.2
,S-C1,C. Ionian (ext.),36.80,19.10,-,-,5.7,6.2
,S-C1,C. Ionian (ext.),37.40,19.40,-,-,5.7,6.2
,S-C1,C. Ionian (ext.),37.80,19.60,-,-,5.7,6.2
,S-C1,C. Ionian (ext.),38.54,20.20,-,-,5.7,6.2
,S-C1,C. Ionian (ext.),38.81,20.26,-,-,5.7,6.2
,S-C1,C. Ionian (ext.),38.78,20.18,-,-,5.7,6.2
11,S-C2,Lefkada,38.81,20.26,6.7,6.8,6.7,6.7
,S-C2,Lefkada,38.54,20.20,6.7,6.8,6.7,6.7
,S-C2,Lefkada,38.54,20.74,6.7,6.8,6.7,6.7
,S-C2,Lefkada,38.93,20.90,6.7,6.8,6.7,6.7
12,S-C3,Amfilochia,38.93,20.90,6.5,-,6.3,6.4
,S-C3,Amfilochia,38.54,20.74,6.5,-,6.3,6.4
,S-C3,Amfilochia,38.54,21.18,6.5,-,6.3,6.4
,S-C3,Amfilochia,38.97,21.23,6.5,-,6.3,6.4
13,S-C4,W. Cephalonia,38.54,20.20,7.4,7.7,7.4,7.4
,S-C4,W. Cephalonia,37.80,19.60,7.4,7.7,7.4,7.4
,S-C4,W. Cephalonia,37.55,20.05,7.4,7.7,7.4,7.4
,S-C4,W. Cephalonia,37.90,20.40,7.4,7.7,7.4,7.4
,S-C4,W. Cephalonia,38.54,20.74,7.4,7.7,7.4,7.4
14,S-C5,E. Cephalonia,38.54,20.74,-,-,7.2,7.2
,S-C5,E. Cephalonia,37.90,20.40,-,-,7.2,7.2
